epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,16.0,-0.0068961805664002895,0.24253077805042267,0.6464038372039795,1.0417453995614779e-05,0.020231228321790695,-0.0061516473069787025,-0.0068961805664002895
10,12.3125,-0.04728443920612335,-0.024913575500249863,0.27406137585639956,1.4870013183099218e-05,0.0320076108392742,-0.004801035289549165,-0.04728443920612335
20,16.625,-0.03587941825389862,-0.017473283037543298,0.14699555337429046,1.4158062185742892e-05,0.03615262657403946,-0.0070724835153669115,-0.03587941825389862
30,15.0,-0.04537520185112953,-0.019305889122188093,0.062187667936086655,1.3022223538428079e-05,0.03860197067260742,-0.0062678963877260685,-0.04537520185112953
40,13.125,-0.047268450260162354,-0.02104739546775818,0.06117509007453918,1.400750334141776e-05,0.042820198461413383,-0.009894342254847288,-0.047268450260162354
50,16.3125,-0.048807673156261444,-0.02133170086890459,0.06235874965786934,1.4512222696794197e-05,0.04828610010445118,-0.014646777883172035,-0.048807673156261444
60,14.1875,-0.04925910383462906,-0.021169307082891463,0.048854491859674457,1.5533098121522926e-05,0.054390961304306984,-0.015324364602565765,-0.04925910383462906
70,17.5625,-0.05210607498884201,-0.018197859171777964,0.05952530056238174,1.4573922635463532e-05,0.05973492972552776,-0.0209927961230278,-0.05210607498884201
80,17.625,-0.059886883944272995,-0.026371652632951735,0.043014130741357806,1.5241684195643757e-05,0.06645487323403358,-0.02539846356958151,-0.059886883944272995
90,12.4375,-0.0832616463303566,-0.01912272796034813,0.10189390480518341,1.8541400277172215e-05,0.07244141176342964,-0.030505472049117088,-0.0832616463303566
100,17.125,-0.06868137419223785,-0.023256836459040642,0.04236975535750389,1.8434271987644023e-05,0.07788568586111069,-0.034951376542448995,-0.06868137419223785
110,13.1875,-0.08283378928899765,-0.023595020174980164,0.04282809942960739,1.9831786630675197e-05,0.0844231516122818,-0.04071846790611744,-0.08283378928899765
120,16.5625,-0.08342055976390839,-0.02033120095729828,0.036152477562427524,2.1727557759732007e-05,0.0904372587800026,-0.04790668971836567,-0.08342055976390839
130,17.0,-0.08894228935241699,-0.02400871440768242,0.040418075025081636,2.5375248878845013e-05,0.09679750800132751,-0.052285701781511304,-0.08894228935241699
140,16.0,-0.09811608493328094,-0.02342345044016838,0.03778814971446991,2.827185016940348e-05,0.10165921002626419,-0.05458834543824196,-0.09811608493328094
150,15.625,-0.10525265336036682,-0.025176141783595084,0.042033548653125766,3.477514983387664e-05,0.10780186653137207,-0.059561028331518176,-0.10525265336036682
160,19.0625,-0.08827216923236847,-0.02318802457302809,0.045510005205869675,3.871225344482809e-05,0.11171514987945556,-0.05831626243889332,-0.08827216923236847
170,17.875,-0.0965685322880745,-0.02603636309504509,0.06262198239564895,4.97482338687405e-05,0.11671354994177818,-0.06227782890200615,-0.0965685322880745
180,16.3125,-0.09700106084346771,-0.022006144374608995,0.07904215753078461,5.498790924320929e-05,0.12044537290930749,-0.06643297150731087,-0.09700106084346771
190,12.5,-0.12328913807868958,-0.024072644114494324,0.05520579367876053,5.713475402444601e-05,0.12518852353096008,-0.07207535356283187,-0.12328913807868958
200,10.625,-0.12415261566638947,-0.01787219475954771,0.04260106608271599,7.009577384451405e-05,0.12922891974449158,-0.07801724076271058,-0.12415261566638947
210,14.1875,-0.11738230288028717,-0.026141392067074776,0.05401655435562134,8.860485249897465e-05,0.1319531261920929,-0.08056308552622796,-0.11738230288028717
